Target_Audience,Quarter,Conversion_Rate,ROI,Campaign_ID
All Ages,1,0.08,4.993,10002
All Ages,2,0.08,5.017,9959
All Ages,3,0.08,4.974,9910
All Ages,4,0.08,5.035,10148
Men 18-24,1,0.08,4.967,10002
Men 18-24,2,0.081,4.996,10049
Men 18-24,3,0.08,4.982,10148
Men 18-24,4,0.08,4.985,10059
Men 25-34,1,0.081,5.039,9843
Men 25-34,2,0.08,5.012,9897
Men 25-34,3,0.079,5.022,10177
Men 25-34,4,0.08,5.009,10106
Women 25-34,1,0.08,5.003,9749
Women 25-34,2,0.08,4.994,10056
Women 25-34,3,0.08,5.01,10152
Women 25-34,4,0.079,4.982,10056
Women 35-44,1,0.08,5.003,9724
Women 35-44,2,0.08,4.979,9907
Women 35-44,3,0.08,5.026,10029
Women 35-44,4,0.08,5.017,10027
